review_id,product_name,review_posted_date,review_header,review_comment_count,review_text,review_rating,review_author
101,,14 Aug 2017,Spreads the chicken cheer everywhere you go!,,"Got this last Christmas as an asked for gift. Yes, it's rubber so it smelled like .....rubber. The smell ( which smelled like new dolls used to smell to me when I got them as child ) was not bad at all, it has since faded. The opening is small, that is the only reason I didn't give it 5 stars, it's hard to get anything out of this purse. I took it out in public as soon as I got it ( even though my sister begged me not to take it ) and the compliments began right away. I have had so many compliments on this purse that I lost count long ago. Not very long into the day, my sister was holding my purse for me and even sat it on her side of the tabletop of the restaurant we lunched at. I am not really interested in carrying the same cookie cutter purse the rest of the world has and this purse has put smiles on so many faces ( yes, one or two of them have been mean ones ) that I really look forward to going places with it. This little purse is a conversation starter and just seems to make people happy seeing it. So, own the look and carry it proudly and just tell them where you got it when they try to buy it from you because I have had a lot of that too.",4.0 ,
102,,08 Aug 2017,This thing is so incredibly stupid looking that I had to have it when I ...,,"This thing is so incredibly stupid looking that I had to have it when I saw it. It makes me super happy every time I see it, causes spontaneous conversation, and amusement to everyone else who sees it as well. I have two complaints, first the opening is too fricking small, which is incredibly frustrating, given that it's roomy and so much more should fit in it than does. Second, it would be more aesthetically pleasing if a small amount of material/foam/whatever were in the head so that my poor chicken doesn't look so smooshed. Lastly, a previous reviewer extolled the virtues of the spacious handles, easily accommodating over the shoulder wear, even in a bulky winter cloak. If you purchased as a fat person, expecting it to fit over your arm, alas, it may not. I am still ridiculously happy with my stupid handbag, regardless.",5.0 ,
103,,03 Aug 2017,"Small opening, but great detail",,Purse is positively adorable! Looks exactly like the pictures and the detail is great! Lots of little feathers. Gave it a 4 because the zipper opening is small and there's no mini zipper pocket inside which would've been really helpful.,4.0 ,
104,,02 Aug 2017,Didn't like the pale color,,Returned. Didn't like the pale color; expected it to be yellow,2.0 ,
105,,28 Jul 2017,but funny.,,"Strong plastic smell, doesn't hold shape well, but funny.",3.0 ,
106,,28 Jul 2017,i love this bag and had to have it,,i love this bag and had to have it! but when i recieved it the handle on this bag was already messing up and coming apart.,3.0 ,
107,,21 Jul 2017,Five Stars,,This is the gift for my friend,5.0 ,
108,,18 Jul 2017,"so cute, small but really how much are you ...",,"so cute, small but really how much are you going to use it, I got it for display, I think chickens are so cute",5.0 ,
109,,17 Jul 2017,LOVE my chicken purse!,,So cute! Purchased a rooster charm to hang off of zipper. Good quality! Thank you! She'll go with me everywhere!,5.0 ,
110,,25 Jun 2017,Love my chicken bag!,,"""Babs"" has just returned from her first vacation to the beach with us. She was a delight to travel with. Yes, her zipper opening is just short of 7 inches, but that just made me feel more secure about my belongings inside. And, she does hold a lot! We took her picture at various locations. She does not smell, and wipes clean easily. Very happy with my purchase.",5.0 ,
111,,21 Jun 2017,Five Stars,,wife loves it!!,5.0 ,
112,,18 Jun 2017,Five Stars,,Super Cute-Love it,5.0 ,
113,,15 Jun 2017,Really a fun looking purse,,"Really a fun looking purse. I did not give it 5 stars because the zipper is too short and it makes getting in and out of the bag really difficult. Also, they stuff it with paper or something because it's pretty flat. I'm going to make some sort of a plastic insert to help proof it out.",4.0 ,
114,,10 Jun 2017,People love this purse,,"People love this purse! I bought it as a gift for my sister, she loves it. It has held up really well.",5.0 ,
115,,02 Jun 2017,Five Stars,,"Can't stop clucking about this fun ""henbag""--just TOO cute!",5.0 ,
116,,01 Jun 2017,Five Stars,,This purse is part of my identity.,5.0 ,
117,,26 May 2017,Five Stars,,Friends and strangers compliment on it.,5.0 ,
118,,25 May 2017,Five Stars,,The best ever.... great conversation starter!,5.0 ,
119,,25 May 2017,And FYI- it looks exactly like the picture---- like real chicken skin,,Smells toxic! Returned for full refund- no way is my 10 year having something that smells this toxic! And FYI- it looks exactly like the picture---- like real chicken skin.,1.0 ,
120,,12 May 2017,PURSE GOES WELL WITH THE LITTLE RUBBER CHICK COIN PURSE,,"Gave this as a gift along with the little Rubber Chick coin purse to a ""crazy chicken lady.""",5.0 ,
121,,10 May 2017,Chicadoodle,,Bought this for a friends birthday and she LOVES IT! She has teens stop her and ask to take pictures with it!,5.0 ,
122,,29 Apr 2017,Five Stars,,Great Bag!,5.0 ,
123,,28 Apr 2017,Five Stars,,I bought it for my niece and she just loves it!!,5.0 ,
124,,23 Apr 2017,would hold a good amount as long as you could get it through ...,,"Bwahahaha. Gave it as a gag birthday gift. Filled it with plastic eggs with money in them. It fit quite a few eggs. Roomy inside, would hold a good amount as long as you could get it through the somewhat small opening.",5.0 ,
125,,21 Apr 2017,Super cute! Bought this for my mother in law ...,,Super cute! Bought this for my mother in law because she loves chickens and chicken decor. Can't wait to give it to her!,5.0 ,
126,,18 Apr 2017,I love my new purse I was stopped everywhere I went ...,,I love my new purse I was stopped everywhere I went people loved it I'm going to order more,5.0 ,
127,,17 Apr 2017,Five Stars,,I love it and I want another one.,5.0 ,
128,,28 Mar 2017,It is so adorable. She said it is the perfect size to ...,,I bought this as a gift for my daughter. She is beyond thrilled with it! It is so adorable. She said it is the perfect size to hold her current knitting project.,5.0 ,
129,,26 Mar 2017,"LOTS of fun, a bit hard to get into as the ...",,"LOTS of fun, a bit hard to get into as the top doesn't open very far, but it's cute, and thick.. i like it",4.0 ,
130,,24 Mar 2017,Five Stars,,my sister loved it..,5.0 ,
131,,19 Mar 2017,Unique quality Handbag,,"My wife loves her chickens (we have a farm) so when I got her the bag she went crazy for it, the Handbag is great quality and thick rubber well worth the money for this unique purse.",5.0 ,
132,,18 Mar 2017,Two Stars,,The zip opening at the top of the bag is too small to get into the bag.,2.0 ,
133,,17 Mar 2017,Five Stars,,Great Christmas present!,5.0 ,
134,,13 Mar 2017,"Squak, a chicken!",,"Love, love, love my Chicken! Eloise....",5.0 ,
135,,09 Mar 2017,Cute and funny bag,,So cute and funny! Can't wait to take it on vacation ;),5.0 ,
136,,08 Mar 2017,This is the best purse I have ever owned,,This is the best purse I have ever owned. I get compliments on it constantly and it makes me feel beautiful and powerful. Thank you so much.,5.0 ,
137,,24 Feb 2017,She LOVED it. Quality is great and is holding up ...,,Got this for my step-mom for christmas. She LOVED it. Quality is great and is holding up still!,5.0 ,
138,,21 Feb 2017,The perfect chicken.,,This is the perfect purse for the ultimate chicken lover! I was so happy when it arrived. Very cute and durable. Everyone who sees it thinks it's adorable.,5.0 ,
139,,16 Feb 2017,Five Stars,,"My daughter wanted this for Christmas. She loves it, and has gotten so many compliments.",5.0 ,
141,,06 Feb 2017,Only the cool have this purse!,,I saw a women with this purse and had to get one for my Mom!,5.0 ,
142,,05 Feb 2017,Five Stars,,goes great with the purse,5.0 ,
143,,26 Jan 2017,i freakin love this purse,,"i bought this purse through my hubby's account, i had been debating w myself on weather or not to get this purse and then i got an email that the price was reduced, so i ordered it. i freakin love this purse. the look on peoples face alone paid for the purse.",5.0 ,
144,,20 Jan 2017,Very nice..,,Very nice... but Zipper is soooo small. Can't even get my wallet in it... have to reach my hans in it and have to geel wat I need... can not reach and see at the same time.. really a pitty,2.0 ,
145,,18 Jan 2017,chicken purse,,daughter loves this purse. fast shipping and looks grea,5.0 ,
146,,17 Jan 2017,super cute!,,"the opening slot is a bit small, but that's the only problem. super cute!",4.0 ,
147,,17 Jan 2017,Perfect...,,This was just want the wife wanted. The purse was well made and very like like with the colorations. Nice product!,5.0 ,
148,,16 Jan 2017,Daughter was thrilled with this.,,Bought this for my daughter who shows chickens that the fair. She loved it and constantly gets asked where she got it. It is made of rubber and waterproof. It is super cute.,5.0 ,
149,,14 Jan 2017,makes a great conversation piece,,I get so many compliments. On this bag...makes a great conversation piece!,5.0 ,
150,,09 Jan 2017,"Fun bag, but not practical",,"Ordered this as a ""fun"" bag as this is the Year of the Rooster 2017. It is large enough to hold a wallet, an umbrella, a pocket camera, a handphone, a fat toiletry pouch that holds all my ""girl items"". My only dislike is the length/size of the zip opening on top of the bag - it is 6 inches (15cm). To put a regular size ladies wallet or an umbrella inside the bag, I had to slip the item in sideways (not length-wise). I think it will be hard to have to maneuver an item to it's shorter side inside the bag just to take it out of the bag. And of course if you have ""big"" hands, it will be a struggle to get your hand even inside the bag. Even with my hands (XS Gloves American-Size), it was not easy for me. And the straps are not long enough to carry the bag on my shoulder.",3.0 ,
151,,09 Jan 2017,A chicken of many uses.,,"I absolutely LOVE my chicken purse and with all the little kiddies getting scraped knees etc, I use this for my supply of band-aids and first-aid ""stuff"". It always takes their mind off of their bumps and scratches. I've also used this guy to carry ice cubes to a party AND wet hand towels to a picnic in the woods. Let your imagination go WILD!",5.0 ,
152,,05 Jan 2017,"Bought as a gift, ended up as a puke bag.",,"Bought this as a gift for xmas, I ended up puking in it and due to it's rubbed construction, not one drop of vom was dripped. 10/10 would puke into rubber chicken purse again.",5.0 ,
153,,03 Jan 2017,Five Stars,,I love this and so many comments when I carry it!!,5.0 ,
154,,31 Dec 2016,My daughter-in-law loved it. She has chickens so it was the ...,,My daughter-in-law loved it. She has chickens so it was the perfect gift.,4.0 ,
155,,30 Dec 2016,Five Stars,,It was a gift for my cousin and she loved it!,5.0 ,
156,,30 Dec 2016,small opening hard to get into,,Cute but the opening is very small. It is hard to get things in and out.,2.0 ,
157,,29 Dec 2016,A Perfect Chicken Purse,,"Such an adorable purse, my mother absolutely LOVED it. Thanks!!!",5.0 ,
158,,28 Dec 2016,Hahah the best Christmas gift ever,,"My husband got this for me as a Christmas gift cause i showed it to him and said i wanted, was so funny to open my gift in front of all our guest everybody smile and laugh about it. What can i say? Im in love with it, is lovely and plenty of room inside, the openning is a bit small but plenty of roon inside the hen hehe.",5.0 ,
159,,24 Dec 2016,Love it. My only negative comment is the opening ...,,Love it. My only negative comment is the opening is very small. Hard to get a cosmetics bag inside or to maneuver around inside.,4.0 ,
160,,21 Dec 2016,Five Stars,,Great gift!,5.0 ,
161,,18 Dec 2016,Five Stars,,my friend raises chickens she loved it,5.0 ,
162,,17 Dec 2016,Love different!,,"I love different purses, and this is different and something no one would be surprised I carried!",5.0 ,
163,,12 Dec 2016,Cute and roomy hen-bag,,"LOVE, LOVE, LOVE this hen-bag. I was pleasantly surprised with how much it holds. I love the outer rubber construction which is great in the rain or snow. I do wish the bottom was also rubber construct, it is fabric. I have gotten lots of compliments on this cute bag. I really enjoy it.",5.0 ,
164,,08 Dec 2016,sooo funny! It is rubber made and you can clean ...,,"sooo funny! It is rubber made and you can clean it very easily. The zipped opening is a little too short, but you can put everything you need in: wallet, phone, a lot of keys, kleenex,...",5.0 ,
165,,06 Dec 2016,Not for Big wallets but why not get a smaller wallet for this beauty..,,I bought this for my chicken fanatic daughter. I am so excited to give it to her. It feels very durable. The zipper is a bit short but it's not a problem for my daughter.,5.0 ,
166,,06 Dec 2016,I love it. I truly do,,"I love it. I truly do. But it lives in my attic. I WISH I could take this out in public, but that's just me.",5.0 ,
167,,06 Dec 2016,I LOVE this purse,,"I LOVE this purse! The zipper could have been a little longer....however, it actually keeps my hubbys large hands out of it. haha I get so many compliments on it every where I go. Always a conversation starter. CLUCK CLUCK!!",5.0 ,
168,,05 Dec 2016,Cluck cluck!,,"LOVE the henbag! Occasionally I'll use it as a handbag if I'm in a silly mood, and it is good to used as a toiletry ""overnight"" bag. As others have mentioned, the opening is not huge, but I haven't really noticed that causes any ""issues"".",5.0 ,
169,,28 Nov 2016,Five Stars,,I get complements on it all the time. Its lasted through a lot of wear and tear.,5.0 ,
170,,27 Nov 2016,Nice addition to a crowded marketplace.,,"The rubber chicken purse industry is known to be very brutal and cut-throat. I hear that folks who work in this business tend to suffer from some form of PTSD, and in some cases spend some time at mental health clinics. I guess I understand the stress since rubber chicken purses are always in such high demand. But is it going too far? In the end... Purchasing a rubber chicken purse is basically the same as buying conflict diamonds from Africa. The straps are nicely made.",4.0 ,
171,,18 Nov 2016,Five Stars,,"Totally fun, durable, and wipes clean with a little soapy water!",5.0 ,
172,,08 Nov 2016,bummer,,you all tricked me!!! i thought this was going to be great. it was discolored. wanky. bad. just not good. i had so many high hopes.,1.0 ,
173,,04 Nov 2016,Five Stars,,"I don't know, it was a present to a granddaughter.",5.0 ,
174,,09 Oct 2016,Five Stars,,This thing is cool as hell.,5.0 ,
175,,20 Sep 2016,How to accessorise with chicken attire!,,"This thing was just the best. Put it with a pair of Moxy Sox ""chicken leg"" sox and you are stylin'!!",5.0 ,
176,,20 Sep 2016,Five Stars,,My friend loved it!,5.0 ,
177,,18 Sep 2016,i love this purse more than i will ever love a ...,,"this is everything i have ever wanted and everything i have ever needed in a chicken purse, i love this purse more than i will ever love a child",5.0 ,
178,,18 Sep 2016,Five Stars,,I love my chicken purse and wish it came in other colors so i could collect them all,5.0 ,
179,,14 Sep 2016,Five Stars,,Love this bag! I've wanted this cute bag for 4 years since I saw someone in Scottsdale carrying one.,5.0 ,
180,,12 Sep 2016,It came when we opened it was plastic and that's not completely bad it was semi waterproof,,Well we bought my mom the chicken purse and we were so excited. It came when we opened it was plastic and that's not completely bad it was semi waterproof. But as we looked more into it and we liked it. We were going to put all of the stuff in the purse but the whole/ zipper was too small you could not put anything in it. The purse also had a really insane smell. But for women who don't like big purses with small wholes I do not recommend this for you. Even though it is really cool it looks like a pretty good chicken the only problem is that it has a lot of space you can’t put your things in there. I think it just needs to shrink in size and open the zipper more and it will be fine and pleas get rid of the smell.,2.0 ,
181,,06 Sep 2016,Love it,,"The purse sure grabs attention. It might not be for everyone, but I like the was it gets people talking. It has tons of room, but as others have pointed a very small opening. I am happy that my wallet can fit into it.",4.0 ,
182,,03 Sep 2016,It is a great conversation starter and while a little smaller than I ...,,"It is a great conversation starter and while a little smaller than I thought, it's such a good and durable purse to have. It's a henbag for goodness' sake, you can't go wrong with that!",5.0 ,
183,,31 Aug 2016,Five Stars,,lots of fun reactions!,5.0 ,
184,,30 Aug 2016,Three Stars,,"This is adorable, but it's cheaper elsewhere on Amazon! Try here: https://www.amazon.com/Rubber-Chicken-Purse-Hen-Handbag/dp/B001G8N95I/ref=pd_sim_sbs_21_1?ie=UTF8&psc=1&refRID=KT7RTDMG422C624CB07P",3.0 ,
185,,30 Aug 2016,"So fugly it's adorable, and actually very high quality.",,"It's so fugly it's adorable, and actually very high quality for a rubber chicken purse. Want to stand out in a crowd? Carry this purse!",5.0 ,
186,,29 Aug 2016,Five Stars,,Very well made product...LUV it...fast delivery!!,5.0 ,
187,,24 Aug 2016,Best Clucking Bag ever! :-),,"This is just the greatest purse ever. I've had about 1000 compliments on it already and I've only had it a few weeks. I took it with me to go see Hamilton in LA and they inspect your bags and when I put it up there, the security guy just looked at me. I said ""Well, I bet you never thought when you got up to go to work you would have your hand in a rubber chicken"" and the security guy just started cracking up. The opening is a bit small, yes, but I have no problems with it and I have big hands and fat sausage fingers. It's a great conversation starter and I just love it more than any other purse I've ever had.",5.0 ,
188,,20 Aug 2016,It Makes Everyone Laugh!,,"Everybody asks where I got this bag. It's so fun to see everyone smile when they see it. I love this and carry it everywhere....I mean, everywhere....I may have been put on a government watch list when I was trying to photograph this purse one day.",5.0 ,
189,,18 Aug 2016,Cute funny purse,,What a darling purse. I saw this in the window at Knott's Berry Farm and had to see if Amazon sold cheaper.. about half price cheaper. So funny and so cute. I ordered the change purse to go with it. Total conversation piece.,5.0 ,
190,,17 Aug 2016,Love the chicken purse,,"Love the chicken purse, such a conversation starter. Only problem, the zipper has about a 4 inch opening making it difficult to get a wallet or check book out.",4.0 ,
191,,16 Aug 2016,Awesome,,I bought it for a gf ..it was everything that was worth the purchase..she went nuts for it..she absolutely loved it Ty,5.0 ,
192,,14 Aug 2016,Five Stars,,Great convo starter ! Fun to carry !,5.0 ,
193,,30 Jul 2016,People love it.,,I dont think i have ever gotten as many compliments on a purse as I have with this one. People love it.,5.0 ,
194,,29 Jul 2016,Greatest chicken purse ever.,,"Awesome bag. I smile every time I look at it and it makes quite a splash everywhere I go with it. Got it in perfect condition, arrived even faster than anticipated.",5.0 ,
195,,25 Jul 2016,Best chicken purse ever!,,Love this purse -- it's my State fair purse! This is the second one I've purchased (my dog ate the other! - so it looks real!). I always get loads of comments and compliments using it for the fair. Good price for only being used a few times a year. Love it!,5.0 ,
196,,19 Jul 2016,FUN!,,"This bag is fantastic - its fun to carry - makes people smile. I have had mine about 6 years and use iot a few weeks a year. I just bought 2 more for gifts. It's durable and holds plenty - the zipper at the top is a little tight, so you cant open it wide to dig through your stuff... no big deal. My full size DKNY zip around 8x4x1"" wallet fits in and out just fine.",5.0 ,
197,,04 Jul 2016,One Star,,SMELLS AWFUL!! i washed it a few times with mild soap and STILL!!,1.0 ,
198,,29 Jun 2016,Pecked off more than I could chew,,"This was a great investment until.....she got loose and one thing led to another, she ate all the food in my house, freaked out my goats, tormented the geese, got freaky with the rooster and now she's sitting on eggs, if they hatch I have no idea how to care for more rubber chicken purses in mini form, like, what do they even eat? What can I put inside of them? Do they need water? Quarters? DO THEY EVEN HATCH WITH HANDLES? Seriously. The one I got may be a rogue defect, she's got a mind of her own and I'm not sure I'm ready for this level of commitment. Cute though!",5.0 ,
199,,29 Jun 2016,Five Stars,,I get sooo many compliments on this purse!,5.0 ,
200,,27 Jun 2016,This purse is CLUCKING awesome!!!!!,,I love this purse!!!!!! I named it Betty and it now comes everywhere with me!!!!!!!,5.0 ,
201,,27 Jun 2016,ADORABLE but not practical,,"I LOVE the way this purse looks. It gets a lot of attention! People stop me to ask about it nearly every day. The BIG con is that the zipper on top is way too small, and it makes it very difficult to get in and out of the purse.",4.0 ,
202,,27 Jun 2016,I use this as my daily purse.,,"I use this as my daily purse. It is a fantastic ice-breaker. Both children and adults seem to love it. Everyone gets a giggle out of seeing this big, obnoxious purse. Joking aside, its actually very sturdy and has held up well to daily use.",5.0 ,
203,,22 Jun 2016,It's pretty cool!,,"If you want a purse that looks like a chicken, this is the one to get. The build quality is great. The design looks high quality. Good amount of storage space inside, but only one large pocket.",5.0 ,
204,,21 Jun 2016,Like,,Like bag but thought chicken would be bright yellow as in picture. The tubing in handles moves out and about a bit. Love concept though,1.0 ,
205,,06 Jun 2016,Wish it puffed out like the picture but it's so cute,,"I only give 4 stars because it does not fill out like this, it caves in on itself. However, it is cute and well made.",4.0 ,
206,,05 Jun 2016,You may have to pay to return it so if your not sure...think again...,,I purchased this bag thru Amazon and I agree the opening is quite small which means your wallet would have to be small to come out.. I decided not to keep it but they were going to charge me $6.00 plus change to return it....Shame on them...So buyer beware if you don't love it its going to cost you to return it...I WOULD RATHER GIVE IT AWAY BEFORE I PAY THEM TO HAVE ME DELVIER IT TO THEIR AMAZON STORE.AND PAY TO RETURN IT..VERY DISAPPOINTED BUT WILL NOT MAKE THAT MISTAKE AGAIN AMAZON....,3.0 ,
207,,03 Jun 2016,She loved (loves) it,,Got this for my daughter for Christmas. It replaced one she had carried for years. She loved (loves) it. She carries it everywhere and gets lots of positive comments. It's such a fun purse. Don't buy it if you take yourself too seriously.,5.0 ,
208,,31 May 2016,Five Stars,,She loved it however the zipper opening is a bit small. Definitely well worth the money though.,5.0 ,
209,,28 May 2016,So cool!,,Fun and funky! Nice handle. Have stuffed it to rest in the closet and eliminate wrinkles.,5.0 ,
210,,24 May 2016,Five Stars,,It is awsome zipper a little small,5.0 ,
