review_id,product_name,review_author,review_rating,review_comment_count,review_posted_date,review_text,review_header
72,,,5.0 ,,18 Jan 2018,,Five Stars
73,,,5.0 ,,31 Dec 2017,,This is the best handbag that has ever existed
74,,,2.0 ,,28 Dec 2017,,Two Stars
75,,,5.0 ,,27 Dec 2017,,Awesome conversation starter!
76,,,5.0 ,,15 Dec 2017,,Five Stars
77,,,5.0 ,,13 Dec 2017,,"My wife loves this purse, and it freaks out ..."
78,,,5.0 ,,07 Dec 2017,,My aunt is gonna flip!!!!
79,,,5.0 ,,05 Dec 2017,,Love it!
80,,,5.0 ,,05 Dec 2017,,"this is a nice purse, the zipper on it makes it hard ..."
81,,,5.0 ,,29 Nov 2017,,Attention getter!
82,,,5.0 ,,18 Nov 2017,,Five Stars
83,,,5.0 ,,18 Nov 2017,,I love Henrietta!!!
84,,,5.0 ,,16 Nov 2017,,Five Stars
85,,,5.0 ,,16 Nov 2017,,It's roomy and pretty much waterproof (for rainy days)
86,,,5.0 ,,21 Oct 2017,,I'm so in love with this purse
87,,,5.0 ,,19 Oct 2017,,Five Stars
88,,,3.0 ,,16 Oct 2017,,"nice, cheaply made"
89,,,5.0 ,,15 Oct 2017,,Cute!
90,,,1.0 ,,05 Oct 2017,,But it has been fun to have
91,,,5.0 ,,21 Sep 2017,,Love just doesn't cut it!
92,,,5.0 ,,17 Sep 2017,,Five Stars
93,,,4.0 ,,14 Sep 2017,,Hole is a little small
94,,,5.0 ,,10 Sep 2017,,Five Stars
95,,,5.0 ,,29 Aug 2017,,People love it almost as much as I do
96,,,4.0 ,,25 Aug 2017,,it's really cute and funny. It wasn't as bright yellow as I expected
97,,,5.0 ,,25 Aug 2017,,Five Stars
98,,,5.0 ,,21 Aug 2017,,Five Stars
99,,,5.0 ,,19 Aug 2017,,Five Stars
100,,,5.0 ,,15 Aug 2017,,... a 9 inch zipper & now my hen-bag is perfect.
101,,,4.0 ,,14 Aug 2017,,Spreads the chicken cheer everywhere you go!
102,,,5.0 ,,08 Aug 2017,,This thing is so incredibly stupid looking that I had to have it when I ...
103,,,4.0 ,,03 Aug 2017,,"Small opening, but great detail"
104,,,2.0 ,,02 Aug 2017,,Didn't like the pale color
105,,,3.0 ,,28 Jul 2017,,but funny.
106,,,3.0 ,,28 Jul 2017,,i love this bag and had to have it
107,,,5.0 ,,21 Jul 2017,,Five Stars
108,,,5.0 ,,18 Jul 2017,,"so cute, small but really how much are you ..."
109,,,5.0 ,,17 Jul 2017,,LOVE my chicken purse!
110,,,5.0 ,,25 Jun 2017,,Love my chicken bag!
111,,,5.0 ,,21 Jun 2017,,Five Stars
112,,,5.0 ,,18 Jun 2017,,Five Stars
113,,,4.0 ,,15 Jun 2017,,Really a fun looking purse
114,,,5.0 ,,10 Jun 2017,,People love this purse
115,,,5.0 ,,02 Jun 2017,,Five Stars
116,,,5.0 ,,01 Jun 2017,,Five Stars
117,,,5.0 ,,26 May 2017,,Five Stars
118,,,5.0 ,,25 May 2017,,Five Stars
119,,,1.0 ,,25 May 2017,,And FYI- it looks exactly like the picture---- like real chicken skin
120,,,5.0 ,,12 May 2017,,PURSE GOES WELL WITH THE LITTLE RUBBER CHICK COIN PURSE
121,,,5.0 ,,10 May 2017,,Chicadoodle
122,,,5.0 ,,29 Apr 2017,,Five Stars
123,,,5.0 ,,28 Apr 2017,,Five Stars
124,,,5.0 ,,23 Apr 2017,,would hold a good amount as long as you could get it through ...
125,,,5.0 ,,21 Apr 2017,,Super cute! Bought this for my mother in law ...
126,,,5.0 ,,18 Apr 2017,,I love my new purse I was stopped everywhere I went ...
127,,,5.0 ,,17 Apr 2017,,Five Stars
128,,,5.0 ,,28 Mar 2017,,It is so adorable. She said it is the perfect size to ...
129,,,4.0 ,,26 Mar 2017,,"LOTS of fun, a bit hard to get into as the ..."
130,,,5.0 ,,24 Mar 2017,,Five Stars
131,,,5.0 ,,19 Mar 2017,,Unique quality Handbag
132,,,2.0 ,,18 Mar 2017,,Two Stars
133,,,5.0 ,,17 Mar 2017,,Five Stars
134,,,5.0 ,,13 Mar 2017,,"Squak, a chicken!"
135,,,5.0 ,,09 Mar 2017,,Cute and funny bag
136,,,5.0 ,,08 Mar 2017,,This is the best purse I have ever owned
137,,,5.0 ,,24 Feb 2017,,She LOVED it. Quality is great and is holding up ...
138,,,5.0 ,,21 Feb 2017,,The perfect chicken.
139,,,5.0 ,,16 Feb 2017,,Five Stars
140,,,5.0 ,,08 Feb 2017,,Five Stars
141,,,5.0 ,,06 Feb 2017,,Only the cool have this purse!
142,,,5.0 ,,05 Feb 2017,,Five Stars
143,,,5.0 ,,26 Jan 2017,,i freakin love this purse
144,,,2.0 ,,20 Jan 2017,,Very nice..
145,,,5.0 ,,18 Jan 2017,,chicken purse
146,,,4.0 ,,17 Jan 2017,,super cute!
147,,,5.0 ,,17 Jan 2017,,Perfect...
148,,,5.0 ,,16 Jan 2017,,Daughter was thrilled with this.
149,,,5.0 ,,14 Jan 2017,,makes a great conversation piece
150,,,3.0 ,,09 Jan 2017,,"Fun bag, but not practical"
151,,,5.0 ,,09 Jan 2017,,A chicken of many uses.
152,,,5.0 ,,05 Jan 2017,,"Bought as a gift, ended up as a puke bag."
153,,,5.0 ,,03 Jan 2017,,Five Stars
154,,,4.0 ,,31 Dec 2016,,My daughter-in-law loved it. She has chickens so it was the ...
155,,,5.0 ,,30 Dec 2016,,Five Stars
156,,,2.0 ,,30 Dec 2016,,small opening hard to get into
157,,,5.0 ,,29 Dec 2016,,A Perfect Chicken Purse
158,,,5.0 ,,28 Dec 2016,,Hahah the best Christmas gift ever
159,,,4.0 ,,24 Dec 2016,,Love it. My only negative comment is the opening ...
160,,,5.0 ,,21 Dec 2016,,Five Stars
161,,,5.0 ,,18 Dec 2016,,Five Stars
162,,,5.0 ,,17 Dec 2016,,Love different!
163,,,5.0 ,,12 Dec 2016,,Cute and roomy hen-bag
164,,,5.0 ,,08 Dec 2016,,sooo funny! It is rubber made and you can clean ...
165,,,5.0 ,,06 Dec 2016,,Not for Big wallets but why not get a smaller wallet for this beauty..
166,,,5.0 ,,06 Dec 2016,,I love it. I truly do
167,,,5.0 ,,06 Dec 2016,,I LOVE this purse
168,,,5.0 ,,05 Dec 2016,,Cluck cluck!
169,,,5.0 ,,28 Nov 2016,,Five Stars
170,,,4.0 ,,27 Nov 2016,,Nice addition to a crowded marketplace.
171,,,5.0 ,,18 Nov 2016,,Five Stars
172,,,1.0 ,,08 Nov 2016,,bummer
173,,,5.0 ,,04 Nov 2016,,Five Stars
174,,,5.0 ,,09 Oct 2016,,Five Stars
175,,,5.0 ,,20 Sep 2016,,How to accessorise with chicken attire!
176,,,5.0 ,,20 Sep 2016,,Five Stars
177,,,5.0 ,,18 Sep 2016,,i love this purse more than i will ever love a ...
178,,,5.0 ,,18 Sep 2016,,Five Stars
179,,,5.0 ,,14 Sep 2016,,Five Stars
180,,,2.0 ,,12 Sep 2016,,It came when we opened it was plastic and that's not completely bad it was semi waterproof
181,,,4.0 ,,06 Sep 2016,,Love it
182,,,5.0 ,,03 Sep 2016,,It is a great conversation starter and while a little smaller than I ...
183,,,5.0 ,,31 Aug 2016,,Five Stars
184,,,3.0 ,,30 Aug 2016,,Three Stars
185,,,5.0 ,,30 Aug 2016,,"So fugly it's adorable, and actually very high quality."
186,,,5.0 ,,29 Aug 2016,,Five Stars
187,,,5.0 ,,24 Aug 2016,,Best Clucking Bag ever! :-)
188,,,5.0 ,,20 Aug 2016,,It Makes Everyone Laugh!
189,,,5.0 ,,18 Aug 2016,,Cute funny purse
190,,,4.0 ,,17 Aug 2016,,Love the chicken purse
191,,,5.0 ,,16 Aug 2016,,Awesome
192,,,5.0 ,,14 Aug 2016,,Five Stars
193,,,5.0 ,,30 Jul 2016,,People love it.
194,,,5.0 ,,29 Jul 2016,,Greatest chicken purse ever.
195,,,5.0 ,,25 Jul 2016,,Best chicken purse ever!
196,,,5.0 ,,19 Jul 2016,,FUN!
197,,,1.0 ,,04 Jul 2016,,One Star
198,,,5.0 ,,29 Jun 2016,,Pecked off more than I could chew
199,,,5.0 ,,29 Jun 2016,,Five Stars
200,,,5.0 ,,27 Jun 2016,,This purse is CLUCKING awesome!!!!!
201,,,4.0 ,,27 Jun 2016,,ADORABLE but not practical
202,,,5.0 ,,27 Jun 2016,,I use this as my daily purse.
203,,,5.0 ,,22 Jun 2016,,It's pretty cool!
204,,,1.0 ,,21 Jun 2016,,Like
205,,,4.0 ,,06 Jun 2016,,Wish it puffed out like the picture but it's so cute
206,,,3.0 ,,05 Jun 2016,,You may have to pay to return it so if your not sure...think again...
207,,,5.0 ,,03 Jun 2016,,She loved (loves) it
208,,,5.0 ,,31 May 2016,,Five Stars
209,,,5.0 ,,28 May 2016,,So cool!
210,,,5.0 ,,24 May 2016,,Five Stars
211,,,5.0 ,,23 May 2016,,Better than KFC
212,,,4.0 ,,20 May 2016,,Cute chicky poo
213,,,5.0 ,,19 May 2016,,Five Stars
214,,,5.0 ,,13 May 2016,,Different
215,,,5.0 ,,10 May 2016,,My purse did not arrive with a funny smell as others had mentioned
216,,,5.0 ,,10 May 2016,,It's fantastic and matches absolutely everything! Almost.
217,,,5.0 ,,07 May 2016,,The Joke That Became a Cherished Keepsake
218,,,5.0 ,,29 Apr 2016,,I worked at Knott's Berry Farm Chicken Dinner Restaurant and ...
219,,,5.0 ,,26 Apr 2016,,Love it!!!
220,,,4.0 ,,18 Apr 2016,,"Silly, but perfect!"
221,,,5.0 ,,13 Apr 2016,,Five Stars
222,,,5.0 ,,05 Apr 2016,,Cluck Purse!
223,,,5.0 ,,04 Apr 2016,,Five Stars
224,,,4.0 ,,27 Mar 2016,,Cute and funny gimmicky bag
225,,,5.0 ,,25 Mar 2016,,Five Stars
226,,,4.0 ,,20 Mar 2016,,It's the chicken bag from Portlandia
227,,,5.0 ,,15 Mar 2016,,Very nice quality and functional too
228,,,3.0 ,,15 Mar 2016,,Three Stars
229,,,5.0 ,,15 Mar 2016,,This couldn't be any cuter or more fun. The opening on top is just a little ...
230,,,4.0 ,,15 Mar 2016,,and she was delighted. I give it 4 1/2 stars
231,,,5.0 ,,13 Mar 2016,,I love this! Not as as purse
232,,,5.0 ,,12 Mar 2016,,Five Stars
233,,,5.0 ,,07 Mar 2016,,Love my hen bag
234,,,5.0 ,,04 Mar 2016,,Big rubber chicken
235,,,5.0 ,,01 Mar 2016,,She loved it so much
236,,,5.0 ,,23 Feb 2016,,Five Stars
237,,,5.0 ,,22 Feb 2016,,"""Spring Chicken"" Purse!"
238,,,5.0 ,,22 Feb 2016,,Five Stars
239,,,5.0 ,,20 Feb 2016,,Five Stars
240,,,1.0 ,,16 Feb 2016,,"This is poor quality, so when you get it and want ..."
241,,,5.0 ,,13 Feb 2016,,... my husband got it for me in yellow I love
242,,,5.0 ,,22 Apr 2018,,Five Stars
243,,,5.0 ,,21 Apr 2018,,GREAt HANDS
244,,,4.0 ,,20 Apr 2018,,Complete set but has 2 dark colors.
245,,,5.0 ,,18 Apr 2018,,Great fun
246,,,5.0 ,,16 Apr 2018,,Five Stars
247,,,5.0 ,,15 Apr 2018,,So Worth It
248,,,4.0 ,,15 Apr 2018,,Four Stars
249,,,5.0 ,,13 Apr 2018,,These are awesome!
250,,,1.0 ,,12 Apr 2018,,DON’T WASTE YOUR MONEY
251,,,5.0 ,,11 Apr 2018,,"Friends and strangers love them, as do I"
252,,,5.0 ,,04 Apr 2018,,Handy hand puppets for office fun.
253,,,5.0 ,,03 Apr 2018,,Hands for your fingers
254,,,5.0 ,,03 Apr 2018,,"So funny, bought these as a gag gift for my ..."
255,,,5.0 ,,03 Apr 2018,,a whole lotta fun
256,,,5.0 ,,26 Mar 2018,,Give em a hand
257,,,5.0 ,,24 Mar 2018,,So fun!!!!!!
258,,,4.0 ,,21 Mar 2018,,Good
259,,,5.0 ,,20 Mar 2018,,A Life Changing Product
260,,,5.0 ,,19 Mar 2018,,Five Stars
261,,,5.0 ,,18 Mar 2018,,Five Stars
262,,,5.0 ,,16 Mar 2018,,This was probably the most genius purchase I have ever ...
263,,,5.0 ,,15 Mar 2018,,Great fun! Endless high fives
264,,,4.0 ,,09 Mar 2018,,Fit better on female hands
265,,,5.0 ,,05 Mar 2018,,A guide to lending people a hand
266,,,5.0 ,,02 Mar 2018,,Five Stars
267,,,5.0 ,,01 Mar 2018,,weirdness abounds! i love these.
268,,,3.0 ,,01 Mar 2018,,"These are the cutest little things, but of the ..."
269,,,1.0 ,,28 Feb 2018,,Disappointing
270,,,5.0 ,,26 Feb 2018,,Five Stars
271,,,4.0 ,,23 Feb 2018,,Not all the same color
272,,,5.0 ,,22 Feb 2018,,Five Stars
273,,,5.0 ,,22 Feb 2018,,Five Stars
274,,,1.0 ,,21 Feb 2018,,Fail. I was looking forward to getting 5 sets ...
275,,,5.0 ,,20 Feb 2018,,LOVE THESE (funny)
276,,,5.0 ,,16 Feb 2018,,AMAZING PRODUCT
277,,,5.0 ,,16 Feb 2018,,Five Stars
278,,,5.0 ,,14 Feb 2018,,Just a little high-five
279,,,5.0 ,,11 Feb 2018,,"Fun, fun, FUN!"
280,,,5.0 ,,11 Feb 2018,,Five Stars
281,,,5.0 ,,05 Feb 2018,,Five Stars
282,,,5.0 ,,02 Feb 2018,,Five Stars
283,,,5.0 ,,30 Jan 2018,,Nothing makes someone crack up like these dumb things
284,,,5.0 ,,30 Jan 2018,,"Yes, please."
285,,,5.0 ,,30 Jan 2018,,Five Stars
286,,,5.0 ,,29 Jan 2018,,"Varying fleshtones, but worth it in fun had."
287,,,5.0 ,,29 Jan 2018,,Perfect! - my friends have taken all of them from me.
288,,,2.0 ,,29 Jan 2018,,Two Stars
289,,,5.0 ,,28 Jan 2018,,Fun for the office
290,,,5.0 ,,25 Jan 2018,,Five Stars
291,,,5.0 ,,22 Jan 2018,,Hilarious!
292,,,4.0 ,,20 Jan 2018,,3:7 ratio?
293,,,5.0 ,,18 Jan 2018,,It was a hit!
294,,,5.0 ,,17 Jan 2018,,Five Stars
295,,,5.0 ,,17 Jan 2018,,Five Stars
296,,,5.0 ,,17 Jan 2018,,Cool stuff
297,,,5.0 ,,14 Jan 2018,,You need tiny hands
298,,,5.0 ,,14 Jan 2018,,Highly recommend to help someone
299,,,5.0 ,,14 Jan 2018,,"Weird idea, but they’re fun!"
300,,,5.0 ,,13 Jan 2018,,These were a very popular stocking stuffer this Christmas. ...
301,,,5.0 ,,12 Jan 2018,,Five Stars
302,,,5.0 ,,09 Jan 2018,,Weird/ good present
303,,,5.0 ,,07 Jan 2018,,Five Stars
304,,,5.0 ,,05 Jan 2018,,A product that satiated a hunger only hands could satisfy.
305,,,5.0 ,,05 Jan 2018,,They have brought me so much joy!! My cats love them too
306,,,1.0 ,,04 Jan 2018,,One Star
307,,,5.0 ,,03 Jan 2018,,Five Stars
308,,,5.0 ,,02 Jan 2018,,... right hands and 5 left hands and is incredibly funny to mess around with
309,,,5.0 ,,29 Dec 2017,,Kids loved them. The package of 10 I ordered had ...
310,,,5.0 ,,29 Dec 2017,,Five Stars
311,,,5.0 ,,28 Dec 2017,,I bought this as a funny gift for Christmas and my boyfriend loved it
312,,,5.0 ,,28 Dec 2017,,Five Stars
313,,,5.0 ,,27 Dec 2017,,Sad but true
314,,,1.0 ,,27 Dec 2017,,One Star
315,,,5.0 ,,27 Dec 2017,,Five Stars
316,,,5.0 ,,25 Dec 2017,,Five Stars
318,,,1.0 ,,23 Dec 2017,,I was “short handed”
319,,,2.0 ,,22 Dec 2017,,"Great, but incomplete sets aren't nearly as useful or fun."
320,,,5.0 ,,21 Dec 2017,,Five Stars
321,,,4.0 ,,21 Dec 2017,,The hands r great minus they absolutely reek of pot
322,,,5.0 ,,20 Dec 2017,,Just got these in today and have already played with them for over an hour. Unsettling but fun!
323,,,5.0 ,,19 Dec 2017,,Five Stars
324,,,3.0 ,,18 Dec 2017,,Do not expect equal number of left and right hands.
325,,,5.0 ,,18 Dec 2017,,These are awesomely hillarious!!! Lol
326,,,3.0 ,,14 Dec 2017,,Three Stars
327,,,5.0 ,,12 Dec 2017,,Like the other reviews
328,,,1.0 ,,09 Dec 2017,,Ummm. Two of the hands are Mexican and the ...
329,,,1.0 ,,07 Dec 2017,,Item not as promised
330,,,5.0 ,,06 Dec 2017,,"i LOVE these, i am a so-called artist and i ..."
331,,,1.0 ,,06 Dec 2017,,They're all the same hand
332,,,5.0 ,,06 Dec 2017,,Really funny! The guys at Modd3rzUnlimit3d have excellent customer service
333,,,5.0 ,,06 Dec 2017,,Trump hands
334,,,3.0 ,,05 Dec 2017,,fun stocking stuffer but I got 2 brown hands instead ...
335,,,5.0 ,,05 Dec 2017,,Amazing detail!
336,,,4.0 ,,05 Dec 2017,,Four Stars
337,,,4.0 ,,03 Dec 2017,,Fun for everybody
338,,,1.0 ,,03 Dec 2017,,One Star
339,,,5.0 ,,03 Dec 2017,,great quality!
340,,,5.0 ,,28 Nov 2017,,Always a good laugh
341,,,5.0 ,,28 Nov 2017,,Five Stars
342,,,4.0 ,,27 Nov 2017,,Hilarious
343,,,5.0 ,,24 Nov 2017,,Was a hit!
344,,,4.0 ,,21 Nov 2017,,Missing a pair of hands but overall good
345,,,5.0 ,,20 Nov 2017,,"dr. who? no, dr. strange."
346,,,5.0 ,,18 Nov 2017,,Lots of laughs!
347,,,5.0 ,,17 Nov 2017,,Five Stars
348,,,5.0 ,,15 Nov 2017,,Really cool to have 5 little hands instead of just 1 ...
349,,,5.0 ,,14 Nov 2017,,fun product
350,,,3.0 ,,14 Nov 2017,,Good quality but a little disappointed
351,,,3.0 ,,13 Nov 2017,,"6 right hands, 4 left hands?"
352,,,5.0 ,,12 Nov 2017,,Five Stars
353,,,1.0 ,,12 Nov 2017,,I had matching left and right hands but as a ...
354,,,4.0 ,,10 Nov 2017,,4 and 6
355,,,5.0 ,,08 Nov 2017,,Five Stars
356,,,3.0 ,,07 Nov 2017,,Too many left hands
357,,,5.0 ,,06 Nov 2017,,Super silly and a must have :)
358,,,5.0 ,,06 Nov 2017,,FUNNY
359,,,5.0 ,,06 Nov 2017,,and a great way to freak out the family pets
360,,,4.0 ,,04 Nov 2017,,"5 rights, 5 lefts"
361,,,4.0 ,,30 Oct 2017,,Four Stars
362,,,5.0 ,,29 Oct 2017,,Five Stars
363,,,1.0 ,,27 Oct 2017,,"Dishonest. You do not receive a ""set"""
364,,,5.0 ,,25 Oct 2017,,Satisfied and tickled.
365,,,3.0 ,,24 Oct 2017,,Three Stars
366,,,3.0 ,,18 Oct 2017,,9 lefts dont make a right
367,,,2.0 ,,08 Oct 2017,,Two Stars
368,,,3.0 ,,06 Oct 2017,,Missing Hands
369,,,5.0 ,,02 Oct 2017,,wild
370,,,5.0 ,,30 Sep 2017,,Everything is perfect and at a great price
371,,,5.0 ,,22 Sep 2017,,"Fun, detailed"
372,,,3.0 ,,17 Sep 2017,,"The quality is awesome, the fit is awesome"
373,,,5.0 ,,14 Sep 2017,,When teachers need an extra hand...
374,,,2.0 ,,10 Sep 2017,,Great if you're looking for all left hands
375,,,5.0 ,,07 Sep 2017,,Hilarious
376,,,5.0 ,,02 Sep 2017,,Five Stars
377,,,3.0 ,,31 Aug 2017,,Time to become left hand dominant
378,,,2.0 ,,27 Aug 2017,,It said there was suppose to be 5 left and ...
379,,,5.0 ,,23 Aug 2017,,great little hands
380,,,5.0 ,,22 Aug 2017,,"So weird, so worth it...."
381,,,5.0 ,,22 Aug 2017,,Five Stars
382,,,5.0 ,,20 Aug 2017,,... got 5 lefts and 5 rights so it looks like they solved that issue
383,,,4.0 ,,10 Aug 2017,,I ordered this and have had nonstop fun with them
384,,,5.0 ,,06 Aug 2017,,Gotta hand it to em
385,,,5.0 ,,03 Aug 2017,,Five Stars
386,,,5.0 ,,31 Jul 2017,,Five Stars
387,,,5.0 ,,30 Jul 2017,,Five Stars
388,,,4.0 ,,29 Jul 2017,,A little disappointment because in the questions for these hands
389,,,5.0 ,,28 Jul 2017,,These are everything!!
390,,,5.0 ,,28 Jul 2017,,Soft and pliable
391,,,5.0 ,,27 Jul 2017,,Better than the hands I was born with
392,,,5.0 ,,22 Jul 2017,,Super fun for kids!
393,,,5.0 ,,21 Jul 2017,,Hilarious
394,,,5.0 ,,14 Jul 2017,,Five Stars
395,,,4.0 ,,11 Jul 2017,,Only 7 hands
396,,,5.0 ,,07 Jul 2017,,I just didn't know what to do with my self until I popped these bad boys on and it's like all the depression has ...
397,,,2.0 ,,29 Jun 2017,,Don't be fooled like I
398,,,4.0 ,,28 Jun 2017,,liked this a lot
399,,,1.0 ,,28 Jun 2017,,Hands not matched.
400,,,5.0 ,,24 Jun 2017,,Five Stars
401,,,1.0 ,,23 Jun 2017,,"Listen to the reviews, I didn't and regret it."
402,,,5.0 ,,22 Jun 2017,,My friends loved this! I suggest wearing these with long sleeves ...
403,,,5.0 ,,21 Jun 2017,,Five Stars
404,,,4.0 ,,18 Jun 2017,,Four Stars
405,,,4.0 ,,15 Jun 2017,,So Handy
406,,,5.0 ,,11 Jun 2017,,so good
407,,,5.0 ,,10 Jun 2017,,Would recommend.
408,,,5.0 ,,09 Jun 2017,,"A set of 10 but hands, awesome gag toy!"
409,,,5.0 ,,06 Jun 2017,,Hilarious object to own.
410,,,5.0 ,,05 Jun 2017,,love them.
411,,,5.0 ,,02 Jun 2017,,Very fun gag. Everyone has fun
412,,,2.0 ,,02 Jun 2017,,Not good
413,,,5.0 ,,01 Jun 2017,,Five Stars
414,,,3.0 ,,01 Jun 2017,,Three Stars
415,,,5.0 ,,31 May 2017,,Five Stars
416,,,2.0 ,,31 May 2017,,Shorted a hand
417,,,5.0 ,,29 May 2017,,Five Stars
418,,,5.0 ,,28 May 2017,,Worth it.
419,,,4.0 ,,28 May 2017,,Timely delivery in safe hands. Expect a more orangey tinge and a mix of left and right hands.
420,,,3.0 ,,22 May 2017,,Three Stars
421,,,1.0 ,,19 May 2017,,Expect to receive the unexpected
422,,,3.0 ,,17 May 2017,,Three Stars
423,,,5.0 ,,16 May 2017,,"These are fun, me and my friends goof around with these ..."
424,,,5.0 ,,16 May 2017,,Everyone will love you
425,,,5.0 ,,15 May 2017,,Five Stars
426,,,5.0 ,,15 May 2017,,Fun loving people
427,,,1.0 ,,11 May 2017,,Irritated
428,,,5.0 ,,10 May 2017,,Five Stars
429,,,3.0 ,,10 May 2017,,They're ok.
430,,,5.0 ,,09 May 2017,,Ummm. These are great....
431,,,5.0 ,,06 May 2017,,Fun and weird
432,,,1.0 ,,05 May 2017,,Not happy
433,,,5.0 ,,01 May 2017,,Five Stars
434,,,5.0 ,,01 May 2017,,Five Stars
435,,,5.0 ,,01 May 2017,,Five Stars
436,,,5.0 ,,30 Apr 2017,,... knuckles and wrinkles and stuff - but I kinda love that? Perfect for weirding out your friends
437,,,4.0 ,,21 Apr 2017,,Four Stars
438,,,1.0 ,,12 Apr 2017,,Disappointed.
439,,,5.0 ,,11 Apr 2017,,Five Stars
440,,,5.0 ,,11 Apr 2017,,Never not funny. I can't help but laugh when I put ...
441,,,1.0 ,,10 Apr 2017,,CHOKING HAZARDS
442,,,3.0 ,,11 Apr 2018,,Good for the price.
443,,,5.0 ,,10 Apr 2018,,Five Stars
444,,,1.0 ,,10 Mar 2018,,I was so happy when I got it but the pitch switches from ...
445,,,1.0 ,,05 Mar 2018,,One Star
446,,,1.0 ,,26 Feb 2018,,Don’t buy this please
447,,,5.0 ,,20 Feb 2018,,Five Stars
448,,,1.0 ,,06 Feb 2018,,Terrible
449,,,1.0 ,,21 Jan 2018,,JUNK
450,,,2.0 ,,11 Jan 2018,,"I have friends who got this and it worked fine, every record I used sounded terrible on my ..."
451,,,5.0 ,,18 Dec 2017,,Five Stars
452,,,1.0 ,,13 Dec 2017,,Get over the looks of this thing and get an ...
453,,,4.0 ,,18 Oct 2017,,Four Stars
454,,,1.0 ,,09 Oct 2017,,RUINS YOUR VINYLS!!! DO NOT BUY!!!!!!!
455,,,1.0 ,,27 Sep 2017,,"It appears that the sound is hit or miss, ..."
456,,,5.0 ,,25 Sep 2017,,It was a wonderful super cute product
457,,,5.0 ,,12 Sep 2017,,This is amazing.
458,,,5.0 ,,11 Sep 2017,,"But they look good, feel good, moderate shape. Great quality."
459,,,5.0 ,,09 Sep 2017,,We enjoy it!
460,,,5.0 ,,08 Sep 2017,,Five Stars
461,,,4.0 ,,02 Sep 2017,,Works Well One Year Later
462,,,5.0 ,,01 Sep 2017,,Great product!
463,,,1.0 ,,29 Aug 2017,,Crosley Record Players are GARBAGE!!
464,,,5.0 ,,16 Aug 2017,,Nice
465,,,4.0 ,,12 Aug 2017,,Cute and Simple
466,,,5.0 ,,10 Aug 2017,,Awesome Product
467,,,1.0 ,,09 Aug 2017,,JUNK. NO SOUND THAT I HEARD FULL BLAST. ...
468,,,5.0 ,,03 Aug 2017,,Fits everywhere.
469,,,3.0 ,,24 Jul 2017,,Three Stars
470,,,1.0 ,,04 Jul 2017,,Missing parts
471,,,1.0 ,,28 Jun 2017,,One Star
472,,,5.0 ,,26 Jun 2017,,Five Stars
473,,,1.0 ,,24 Jun 2017,,Buy something else
474,,,5.0 ,,12 Jun 2017,,Louder
475,,,5.0 ,,08 Jun 2017,,Five Stars
476,,,2.0 ,,27 May 2017,,Terrible audio quality
477,,,5.0 ,,22 May 2017,,if you love vynil you will love this record player
478,,,1.0 ,,30 Apr 2017,,please do not waste your money and ruin your records
479,,,1.0 ,,29 Apr 2017,,I bought this record player because I LOVED the look of it and the fact that it ...
480,,,4.0 ,,23 Apr 2017,,Sounds just like my vintage portable record player I had when I ...
481,,,1.0 ,,21 Apr 2017,,Won't play your Twenty One Pilots records
